id,cpu_load_mean_m_3,disk_octets_read_mean_m_3,disk_octets_write_mean_m_3,disk_ops_read_mean_m_3,disk_ops_write_mean_m_3,network_rx_mean_m_3,network_tx_mean_m_3,cpu_load_monthly_mean_delta,network_tx_monthly_mean_delta,network_rx_monthly_mean_delta,disk_ops_read_monthly_mean_delta,disk_ops_write_monthly_mean_delta,disk_octets_write_monthly_mean_delta,disk_octets_read_monthly_mean_delta,cpu_load_max_gradient,disk_octets_read_max_gradient,disk_octets_write_max_gradient,disk_ops_read_max_gradient,disk_ops_write_max_gradient,network_rx_max_gradient,network_tx_max_gradient,is_churn
110,1.72784946,0.00004140,0.50913809,0.00075269,7.90021505,0.00539929,0.00085268,-0.04598387,-0.00000728,-0.00110663,0.00075269,0.07165950,0.00620526,0.00004140,-0.00010228,0.00000136,0.00010815,0.00002500,0.00121699,-0.00003300,-0.00000021,1
111,11.94247312,0.65849058,0.57125106,48.97397849,11.25021505,0.30418083,0.03471163,2.24091756,-1.81226869,-7.45439145,-4.23424373,-3.78900717,-0.12246024,-0.18202421,0.05381438,-0.00034810,-0.00439509,0.17492667,-0.12944950,-0.07224920,-0.01728647,1
112,4.39365591,0.02372465,0.04251780,0.59612903,6.03333333,0.01598567,0.00922773,-1.58812186,-0.24566803,-0.20075575,-8.80220430,-3.97155556,-0.25637233,-0.12798801,-0.07110524,-0.00492294,-0.01085269,-0.27850256,-0.19713467,-0.00905475,-0.00646834,1
113,27.77521505,4.40190723,4.35400572,305.03924730,133.48935480,0.68746367,0.56159236,-17.52300717,-0.16066907,-0.14183113,-310.25708600,-47.63464516,2.02180339,-13.99496320,-0.56813344,-0.36862081,0.12073160,-5.67913080,0.89775956,-0.00490130,0.00091874,0
114,65.01827957,1.41798648,1.61945005,59.47870968,56.63290323,0.98720907,0.35337116,0.37261290,-0.10884114,0.27386077,-16.06484588,0.47868100,0.15314634,-0.37698597,0.00860850,-0.00977307,0.00870685,-0.48597744,-0.02023638,0.01043551,-0.00651821,1
115,68.92365591,3.53123290,2.03669757,290.99967740,113.36075270,0.18378053,2.44253780,3.40660036,0.00319941,0.02537250,-7.21687814,-29.79224731,-0.81693158,-0.92738473,-0.03668588,-0.02214950,-0.02178856,-0.16974440,-0.85532540,0.00021374,-0.00004050,0
116,28.80739247,3.14351528,2.64567423,71.08860215,26.42655914,0.34219932,3.55919203,7.46008692,-0.86228164,-1.90945805,-42.21050896,1.90467025,-0.68198581,-0.16111477,0.24350507,-0.02765518,-0.01115721,-1.24293443,0.04105782,-0.02771079,0.00294578,0
117,16.85946237,1.05033409,1.36637980,57.44311828,13.71494624,0.61509746,0.16702445,1.86646237,-0.04684086,0.27418618,-17.61588172,3.59916846,0.21115033,-0.21251619,0.04088895,-0.00963558,0.00508537,-0.58020853,0.06828645,0.00489362,-0.00137996,1
118,8.85618280,0.00616922,0.12123323,0.54333333,3.54107527,0.02408034,0.03327539,2.37390502,0.00400204,0.00195541,0.31055556,-0.10514695,0.00152035,0.00302258,0.06035528,0.00013108,0.00005710,0.01291398,0.00076573,0.00003230,-0.00000250,0
119,54.31887097,4.47784580,2.49877141,192.02763440,42.88677419,1.15347686,7.78740286,4.41748208,2.34574083,0.03087395,9.43585663,2.02832975,0.30262000,0.34374709,0.04388058,-0.00160133,0.00314354,-0.39962859,0.08621364,0.00278208,-0.00323344,0
120,5.23473118,0.00562561,0.23055327,0.23516129,1.44494624,0.02326615,0.19236685,0.06562007,-0.05211175,-0.04166596,0.06693907,0.07316846,0.00348650,0.00068857,0.00157976,0.00004600,0.00018327,0.00243504,0.00147541,-0.00136609,-0.00086118,0
121,42.45505376,18.01945264,14.59348469,529.82333330,48.93516129,1.39309317,39.43183927,4.65233154,-5.23590409,-0.91763734,37.35388889,0.07805018,1.03101475,-1.18873026,0.07437498,-0.04802820,0.02400739,0.99190041,0.03202556,-0.01367357,-0.12281820,0
122,53.21897849,39.35980643,15.96328784,201.66193550,81.17139785,1.73220718,0.22037860,2.98420072,0.01193622,0.35723702,27.75993548,8.74428674,0.76729839,7.00082002,0.06797629,0.15530916,0.02289730,0.59365274,0.15609272,0.01248840,0.00054431,0
123,8.77193548,3.38916077,0.34553019,163.08892470,7.92913979,0.02935021,0.25540604,-1.11639785,-0.01350688,-0.01910958,-8.17896416,0.24980645,0.00282424,-0.06154902,0.02283906,-0.00137201,0.00010132,-0.20766279,-0.00111934,-0.00094244,0.00084730,1
124,14.10150538,9.48282489,2.73981132,192.52763440,78.50881720,0.05465255,0.00716284,-9.40605018,-1.10270244,-0.10209424,-229.21469890,0.05448387,0.21736879,-13.41469234,-0.27412568,-0.40868589,0.00792097,-6.12807615,0.43824449,-0.00449235,-0.04377620,0
125,14.97016129,0.58858243,0.76311739,40.43688172,6.60978495,0.18458408,5.31790127,-0.74433871,-0.47586811,-0.50151851,-21.21100717,-0.19199283,-0.37283676,-5.19401111,0.04278204,-0.08382256,0.00321691,0.00536119,0.03209043,-0.00107539,-0.00496931,1
126,28.26424731,1.07650511,1.51910774,40.68000000,53.12602151,0.55149479,2.11662598,-3.57353047,0.62242486,0.18370457,3.03966667,3.25679928,0.26522111,0.09467923,-0.11036136,0.00360153,0.00574147,0.14995787,0.11263882,0.00171507,0.00829006,0
127,12.14129032,0.28308271,0.98210321,11.90440860,10.88139785,0.38234312,0.06332922,1.69173477,-0.03004683,-0.27417596,-0.11259140,2.04539785,-0.04658808,0.03658133,0.06662983,0.00222504,0.00107093,0.08543839,0.05958858,-0.00054603,0.00025266,0
128,10.78768817,0.01278128,0.27988188,0.49688172,2.41677419,0.39786805,0.28589443,-1.36203405,-0.04849806,0.06416239,0.37343728,0.85499642,0.12506036,0.00544626,-0.03500256,0.00008440,0.00482011,0.01245602,0.03330037,0.00322390,-0.00090600,1
129,61.94365591,2.41053971,1.40993140,93.58645161,56.35021505,0.34286683,3.18921572,5.80321147,0.54741403,0.03147624,-15.74432616,-3.66711828,-0.20148194,-0.57620813,0.15689944,-0.01604414,-0.00693110,-0.35811951,-0.16830866,0.00052732,0.02363688,0
130,18.05037634,0.11073690,1.05260858,1.96752688,28.47881720,0.24378932,3.37342713,-8.36315143,-0.06270413,-0.00717075,1.70486022,-11.34951613,0.25323458,0.10324259,-0.17307223,0.00355419,0.00919689,0.05718297,-0.26213732,-0.00059537,0.00382765,1
131,13.05887097,1.61588064,1.16822792,40.04591398,20.65419355,1.16982571,0.04090373,8.54820430,0.02274233,1.02204485,31.36135842,16.06430466,0.78920542,1.14700060,0.16557210,0.02482474,0.01372476,0.65587097,0.27822316,0.01476856,0.00035939,0
132,57.34059140,79.07100188,1.00600689,997.93376340,24.77086022,0.71318983,5.32493733,-6.09210305,-7.12707907,-0.81434164,-524.63156990,-30.08936201,-0.46484521,-33.50033608,-0.17607708,-1.02459822,-0.01058620,-16.02727552,-0.73952723,-0.01822011,-0.20535785,1
133,35.23069444,0.72078325,0.50844617,61.59978495,23.93763441,0.29683499,0.01084848,11.05652778,0.00656984,0.28799653,57.34856272,22.81307885,0.46028176,0.66273701,0.45856454,0.02201897,0.01524305,1.75474017,0.91138780,0.00989648,0.00018926,1
134,23.85543011,0.98694750,5.28743039,36.15580645,15.33903226,0.19806937,0.56081361,-0.17284767,-0.11789401,0.00497063,-8.80474910,0.19536559,0.01463730,-0.07048360,-0.02343487,-0.00274965,0.00048205,-0.23186921,0.00353376,0.00006080,-0.00221956,0
135,5.11440860,0.00681984,0.57628210,0.26247312,8.36526882,0.26640734,0.02348889,0.18357527,-0.11458179,0.08905215,-29.55630466,2.90304660,0.13939454,-0.13127782,0.00635087,-0.00300407,0.00307971,-0.68184312,0.04878160,0.00131227,-0.00297273,1
136,28.48225806,3.81085278,2.45394135,87.77010753,20.48677419,1.24945341,0.23081232,-12.73790860,0.05925902,1.05212312,41.84666308,2.14988531,0.67580449,1.63763760,-0.45547047,0.04265750,0.02282741,1.24792279,0.08784400,0.03999997,0.00056403,0
137,50.88209677,5.62830969,4.21288310,206.69903230,51.76591398,1.25852480,4.72488589,10.17684677,1.01793566,0.18686052,27.93247670,7.85924731,0.16671749,0.36208187,0.36137687,0.01714183,0.00616249,0.85045602,0.18880557,-0.00022622,0.01116255,0
138,8.95193548,0.19867538,0.77771060,8.69505376,9.19311828,0.32427018,0.03126389,0.38571326,-0.04355093,0.07658738,1.70872043,2.56678495,0.09553819,0.05544782,-0.01506170,0.00124582,0.00201212,0.04429314,0.05010964,0.00144494,-0.00180264,1
139,9.37290323,0.29111153,0.70412310,15.72387097,13.94903226,0.31163098,0.00763501,0.99134767,0.00075090,0.05943553,3.38253763,3.68414337,0.05320043,0.06947697,0.02625542,0.00199101,0.00151755,0.09787062,0.09963934,0.00085663,0.00001510,1
140,32.52392473,4.09734684,2.62937562,71.22903226,70.73827957,0.26508891,16.58015658,1.46148029,-0.16006199,-0.04472254,8.28981004,6.45594624,-0.07135976,0.88905960,0.00429878,0.03527500,0.00181129,0.30865098,0.15725313,-0.00008930,0.09838464,1
141,8.69956989,1.26354201,0.06156552,67.02139785,3.80870968,0.01837900,0.15113331,2.71468100,-0.23398842,0.00281339,4.00439785,0.87726523,-0.00094444,0.86450832,0.02551842,0.01452437,0.00001720,0.12169804,0.00643839,0.00004880,-0.00432476,1
142,8.18556452,0.34754868,0.78142343,5.85903226,6.00978495,0.88736882,0.91135042,-0.57210215,0.19982425,-0.13744530,1.94525448,0.43656272,-0.00108870,-0.01786640,-0.01759677,0.00012531,-0.00067895,0.09158065,0.01792597,-0.00315516,0.00665347,0
143,7.37311828,1.84000160,0.32699910,83.97150538,8.29591398,0.09221835,2.14775894,0.56556272,1.18362678,0.00979001,17.19550538,2.59169176,0.04908959,1.07990051,0.01208232,0.01891624,0.00045230,0.47793231,0.06957747,0.00019371,0.04291040,1
144,4.40881720,0.00000000,0.00051839,0.00000000,0.09258065,0.01070392,0.00080094,-0.10362724,0.00000510,0.00212010,0.00000000,0.00502509,-0.00011149,0.00000000,-0.00364146,0.00000000,-0.00000358,0.00000000,0.00017751,0.00001830,-0.00000085,0
145,3.92534946,0.10493611,0.90675927,6.89645161,9.72064516,0.09082923,4.54339889,-0.09284498,-4.35223985,-0.01301048,1.03367384,6.01508961,0.06104996,-0.10818571,-0.01308607,-0.00445627,-0.00038253,-0.05537423,0.03872731,-0.00144128,-0.15982208,0
146,18.78231183,0.03001575,0.73935206,1.61193548,25.10946237,0.52816444,0.23135602,1.19164516,0.03220911,0.13657144,1.39871326,4.34335125,0.16099384,0.02062317,0.04275956,0.00087617,0.00676626,0.05415389,0.22674317,0.00534225,0.00078185,1
147,39.50908602,4.46652482,1.61003366,500.34580650,129.66731180,0.44319297,0.99097910,6.44114158,0.57827067,-0.01744357,-11.43352688,-2.66479928,-0.12395754,0.84125182,0.11914851,0.00108396,-0.00147723,-0.13852142,0.13541988,-0.00391202,0.00195337,1
148,14.46462366,2.31113965,0.48113328,128.86580650,15.38720430,0.03495093,0.02515242,3.08217921,0.00728810,0.01048348,18.46663978,5.03653763,0.02155378,0.32615473,0.04415036,0.01063656,0.00108727,0.58224017,0.06756425,0.00017612,0.00012170,1
149,15.65510753,0.14193785,1.06447156,4.33376344,7.96010753,0.11500972,0.83903516,0.13249642,0.07810541,0.00567874,1.26343011,0.00444086,0.00808267,0.06019079,0.00206390,0.00188458,0.00030721,0.02941953,-0.00073206,0.00005290,0.00149616,1
150,4.09645161,0.00004180,0.48488140,0.00559140,3.42827957,0.01518651,0.05881210,0.27778495,-0.10671300,-0.00171998,0.00125807,0.30261290,0.02574847,-0.00000777,0.00846845,-0.00000030,0.00083875,0.00001550,0.00806134,-0.00005360,-0.00482758,0
151,26.91693548,0.76548801,0.38308963,23.75419355,23.31956989,0.10080801,0.82857453,4.53954660,0.77608665,-0.23955926,-5.53858423,-5.21587455,-0.05771495,0.41838694,0.11552168,0.00579598,-0.00205368,-0.10944774,-0.11291750,-0.00493937,0.01041657,0
152,50.18983871,12.29142033,3.57160844,291.61774190,155.30365590,0.33082239,20.40104629,6.71483871,9.76454054,-2.10442112,210.25685300,124.27054480,1.25723140,8.54782816,0.21641962,0.25450163,0.05989247,5.92645249,2.37470756,-0.02284019,0.42041425,0
153,53.93440860,28.45877424,14.59092887,497.59494620,33.40913978,0.80468301,170.78860070,-0.60031362,-1.34954265,-0.02415069,-11.22427599,-3.22430466,-0.41794608,0.03535178,-0.01698087,0.01220683,-0.01553712,-0.70112939,-0.09732611,-0.00033911,0.06654063,0
154,30.44967742,1.59959282,1.66665932,84.78634409,29.93763441,2.68541736,0.53370548,-1.07632258,-0.18773250,0.18544689,7.20145520,5.19030108,0.01323428,0.20377524,-0.04192843,0.00429921,-0.00223784,0.20263511,0.11307844,0.00714978,-0.00636625,1
155,5.87376344,0.07918141,0.11919800,5.23978495,3.12139785,0.01352770,0.01625020,0.25409677,0.00112582,-0.00075362,4.70411828,0.66773118,0.09341323,0.07494887,0.01571691,0.00228940,0.00290750,0.14052512,0.02299242,0.00000326,0.00006460,1
156,37.48612903,1.58002187,0.62808020,352.99806450,26.93709677,0.12116564,0.05983443,1.11912903,0.01504260,-0.05779322,4.65739785,0.57431900,-0.01430868,0.06643245,-0.01232311,0.00182890,-0.00057397,0.17679482,-0.00610136,-0.00196261,0.00025654,1
157,20.16806452,0.02993515,1.13467805,0.73107527,4.54258065,0.30741612,4.94299825,-1.36260215,0.06888717,-0.04728843,0.00296416,-0.58075269,0.03545222,0.00488083,0.07023374,0.00010009,0.00179804,0.00034902,0.00397215,-0.00121335,0.00514131,1
158,77.07311828,2.53593974,1.74922179,223.87666670,173.35107530,0.54447551,0.62291077,-25.88465950,0.62058162,0.37579123,122.96944440,154.73418640,0.88567850,0.21438087,-1.13157395,-0.01331247,0.01469116,1.75339926,3.18459686,0.01085717,0.01154475,1
159,29.58564516,1.33042176,2.01218444,43.04645161,5.20096774,0.03563751,0.84001421,2.43542294,-0.69359999,-0.00076523,27.40022939,1.10252330,0.38961981,0.52018244,0.10925983,0.01622350,0.01304526,0.94168095,0.03344915,-0.00004080,-0.02642110,0
160,44.54349462,15.38086824,10.07838670,287.64419350,36.00397849,0.21647119,59.65879051,0.49432796,0.62415008,-0.00186940,2.16886022,-1.76468817,-0.22912454,0.30041597,0.04665627,0.02417669,-0.00073225,0.15343822,-0.03889494,0.00004100,0.04085237,1
161,83.30112903,3.55806065,3.12626330,192.86827960,69.70290323,7.53630391,1.95063940,-0.08148208,-0.05870026,6.12439663,-52.56005376,-21.56698566,0.80342836,0.89993289,-0.03366085,0.01863925,0.01406959,-1.66678459,-0.48710911,0.16219210,-0.00215210,1
162,10.30473118,1.37334167,0.79585544,135.26591400,14.22397849,0.34218112,0.02573122,0.79284229,-0.01793812,0.10458796,7.65324731,3.10586738,0.13424040,0.05030364,0.00716658,0.00060897,0.00245731,0.26502574,0.06101287,0.00201457,-0.00017576,1
163,12.12440860,0.10829119,0.79386118,6.93720430,51.53172043,0.34438913,0.01652016,0.46251971,-0.00177159,0.09408420,0.63464875,1.23027599,-0.05344740,0.02231524,0.00343716,0.00074035,-0.00199018,0.04597374,-0.09335114,0.00195924,-0.00006570,1
164,8.06204301,0.61155614,0.36815553,37.57247312,1.80247312,0.02444467,0.01219560,-0.32629032,-0.00097840,0.00732085,-1.72330466,0.25402867,0.02981591,0.17979906,-0.01281527,0.00510460,0.00065022,-0.12545849,0.00443205,0.00027902,-0.00009970,1
165,25.87801075,0.11943452,1.32057727,1.80860215,11.46591398,2.14066648,0.07729252,0.35978853,-0.02094894,-0.23238301,1.59660215,-0.55764158,-0.00923419,0.10002221,0.00581341,0.00188669,-0.00085167,0.03505676,-0.01422122,-0.00654717,-0.00057850,0
166,4.97344086,0.03518552,0.52675837,2.35935484,6.86645161,0.17422572,0.00402645,-0.36061470,-0.00021448,-0.01363818,-0.38720072,0.68278495,-0.03049560,-0.00556649,-0.00551022,0.00034682,0.00073701,0.01338058,0.05211564,0.00004160,-0.00001130,1
167,9.31731183,0.23938092,0.54255088,31.40505376,6.62193548,0.28816257,0.09208527,0.75297850,-0.11402377,-0.07763248,-22.10116846,1.65815771,0.01748691,-0.18444164,0.01331007,-0.00754297,-0.00049934,-0.96762436,0.00799101,-0.00492499,-0.00359451,0
168,28.63903226,0.73222904,0.76562696,47.67172043,14.22064516,0.39132400,0.85668672,2.68247670,-0.12830318,0.18514315,6.56605376,-1.27268817,0.11061649,-0.01887462,0.02862824,-0.00208470,0.00111974,0.07598978,-0.14062489,0.00174273,-0.00501604,1
169,5.78150538,0.00000044,0.03738679,0.00010753,1.73774194,0.00687083,0.00029708,0.22817204,0.00000263,-0.00094664,0.00010753,0.03596416,0.00258490,0.00000044,0.01128045,0.00000000,0.00006060,0.00000088,0.00093619,-0.00003510,0.00000003,1
170,19.79209677,1.56204528,2.05111070,99.32741935,15.61451613,0.51598007,0.42332535,5.77787455,0.17374363,0.22711774,-75.01858065,-58.07915054,-0.43429238,-3.90937554,0.16755187,-0.11316494,-0.01079010,-1.69002538,-1.66802785,0.00732226,0.00523622,1
171,7.21575269,0.03543899,0.54620512,3.01881720,9.43451613,0.30059139,0.18508147,0.24186380,-0.04580239,0.11903502,0.85215054,2.68596057,0.06521594,0.00974649,-0.01066358,0.00026021,0.00089905,0.01948317,0.04662013,0.00260434,-0.00055787,1
172,7.05672043,0.00777095,0.81398046,0.83709677,55.22817204,0.33888416,0.12228133,-0.90052957,-0.04324033,0.17675848,0.03454122,1.28794982,0.11296053,0.00040020,-0.02194544,0.00009140,0.00314321,0.00236260,0.05120307,0.00434076,-0.00091477,1
173,102.81994620,53.73526578,15.65089440,2253.46311800,2100.97580600,2.02307297,0.23124450,-0.05955376,0.01435679,-0.11818414,53.03822939,34.34491756,0.03944096,5.79804096,-0.00264904,0.23296234,-0.00498318,3.01624837,3.93607227,-0.00636042,0.00107127,1
174,76.42247312,38.37942311,11.42303155,417.82236560,26.96268817,7.37817192,309.02572870,-2.07447133,11.92729946,0.59849711,-31.79141219,-15.52564516,0.12916414,1.09062239,-0.09169196,0.04556707,0.00199206,-1.41330725,-0.61380786,0.01171802,0.50552263,0
175,7.14989247,0.15453900,0.68678117,4.31870968,4.51677419,1.94310691,0.78922110,1.95055914,-0.29653158,1.30861881,3.79148746,2.29699642,0.49692383,0.09889666,0.08270042,0.00457752,0.01493198,0.16972748,0.09002433,0.03920396,-0.00455904,0
176,49.49688172,3.43311767,14.81757046,165.77193550,145.37053760,0.81679873,13.77077488,-13.34945161,2.98182648,-0.28477678,-62.21139785,-1.62324014,1.22674192,-3.79666667,-0.32326609,-0.08076624,0.03492068,-1.19457395,0.18673718,-0.00645698,0.07696398,0
177,19.19505376,5.66893287,0.83858839,282.42483870,34.68795699,0.02439563,0.18063639,0.58494265,0.05750850,-0.00637869,37.77572760,11.78706810,0.22974746,1.45299630,-0.00752776,0.04392205,0.00544127,0.95279588,0.38828221,-0.00005500,0.00184551,0
178,102.09967740,0.63801322,0.78685658,26.70032258,10.78526882,0.33246215,0.00382498,-0.04521147,-0.02364742,0.10032686,1.57010036,2.73393548,0.16284918,0.07403953,-0.00061396,0.00369409,0.00405132,0.16323374,0.07223374,0.00208926,-0.00048999,0
179,51.20553763,0.57597688,1.99106444,15.75591398,14.66225806,0.32340871,0.00996862,0.57987097,-0.95108104,-0.04350006,3.03780287,-2.04985305,0.43725464,0.08078504,0.03427869,0.00263054,0.01439112,0.11144456,-0.03684012,-0.00113241,-0.02707007,1
180,9.68258065,0.68120003,0.80732204,31.97526882,15.33096774,0.33607130,0.01819033,0.93202509,-0.00021275,0.07811958,-0.97828674,2.48318996,0.07273539,0.00111612,0.02212533,0.00096704,0.00092004,0.06851384,0.06299224,0.00126871,-0.00005450,1
181,29.52357527,7.50755510,6.75639456,129.21924730,509.51333330,22.92449781,21.49140702,-1.97698029,3.43676900,15.56886975,14.11146953,-5.62866667,-0.10625979,2.77171478,-0.11386304,0.08290849,-0.00065037,0.49996457,-0.13723374,0.14118753,0.03479483,0
182,37.41940860,2.49945121,1.04649458,59.95236559,30.39967742,0.03517359,0.05199371,9.64474194,-0.00196256,0.00117186,29.95414337,18.80667742,0.31816059,1.61626043,0.17529050,0.04127450,0.00952487,0.72266050,0.36834761,-0.00000031,-0.00002650,1
183,14.50919355,1.93741857,1.99677093,27.19860215,31.39731183,0.13879116,0.07717398,-2.52125090,-0.04586711,-0.07923173,-2.34989785,-2.34168817,0.33577358,0.19439296,-0.06969002,0.00619591,0.01173112,-0.02474132,-0.09623815,-0.00291740,-0.00114989,0
184,19.08000000,1.47877404,0.30819229,103.77290320,5.51204301,1.42180685,3.00149891,-7.27133333,-0.29750494,-2.00462805,-9.35987455,-1.46862366,-0.34138109,-0.52079281,-0.19731430,-0.01915640,-0.01446229,-0.24450432,-0.04762718,-0.08804157,-0.06120438,0
185,9.09784946,0.00296674,0.36164949,0.27860215,9.23172043,0.13422548,0.21859686,0.29118280,0.10334174,-0.05810426,-0.18628674,-0.06616846,-0.00383704,0.00015324,0.00852688,-0.00005070,-0.00016664,-0.01372625,-0.02631694,-0.00241257,0.00129821,0
186,0.73704301,0.00000000,0.02018800,0.00000000,2.57720430,0.01114203,0.00647206,-0.04417921,-0.00001290,0.00116143,0.00000000,0.13742652,0.00155120,0.00000000,-0.00095558,0.00000000,0.00006620,0.00000000,0.00680240,0.00003570,0.00000432,1
187,40.45430108,1.96788929,1.51089598,78.94311828,14.72483871,0.45130349,0.15110361,8.97552330,0.06926762,-0.01459237,-60.68210394,-5.15193907,-0.39236862,-1.05090310,0.27704927,-0.03665113,-0.00935687,-2.27718914,-0.13508743,-0.00306060,0.00168829,0
188,13.98430108,2.44421621,0.09825401,148.77827960,6.85892473,0.01364185,0.01189901,0.25807885,0.00289233,-0.00057857,0.09650179,-0.01574194,-0.00018652,0.00158573,0.00685810,-0.00003860,-0.00001880,-0.00210101,-0.00156408,0.00000258,0.00013020,0
189,8.54354839,0.01637299,0.33622963,0.28967742,5.18430108,0.03473138,0.39494112,1.25360394,0.05572852,-0.00002400,0.27145520,1.37718996,0.00977661,0.01588648,0.00308135,0.00042625,0.00030402,0.00915336,0.05346906,0.00000606,0.00261767,0
190,35.92021505,1.66020261,0.88560646,77.92935484,53.47043011,0.91417895,1.29646994,-1.56822939,-0.43633913,0.22914253,5.01557706,-2.11101434,0.01617920,0.05484140,-0.02363838,0.00228868,-0.00179172,0.08072255,-0.08799383,0.00346995,-0.02352756,0
191,86.53150538,14.51797867,13.33727794,347.44956990,83.23365591,0.48406827,6.30464660,1.44817204,-6.86643785,-1.71436899,99.94379211,-6.97078853,0.50959432,1.82359199,0.01924766,0.04588595,0.01096558,2.55785616,-0.25020888,-0.03600784,-0.26713836,0
192,49.33666667,42.81928010,2.69364499,729.05623660,19.56172043,0.33040276,3.44809841,-3.01861111,3.20295281,-0.42590970,28.18356989,-0.28405735,0.03901693,6.63610539,-0.03226133,0.16263783,0.00189755,0.92778036,-0.01616217,-0.01420794,0.08520996,1
193,81.83236559,27.52495693,23.81727975,439.62752690,83.30064516,76.18104526,73.86363784,0.97314337,1.53754823,-8.10980375,11.69997133,4.49342294,1.09602501,1.70657152,0.03180055,0.06050835,0.03775204,0.28175428,0.02741671,-0.17978091,0.04542535,1
194,26.57075269,2.54674151,2.09348823,64.26881720,36.47956989,0.60012381,1.10790880,-0.38785842,0.22736301,0.27777498,10.79870609,-38.74531900,-1.07468961,0.21646948,0.05024017,0.00216947,-0.00762417,0.18301146,-0.25814137,0.00549610,0.00016510,1
195,2.00354839,0.00072979,0.06060671,0.02559140,0.98118280,0.46012150,0.31738435,0.19754839,0.07696698,0.15607986,-0.02040860,-0.00170609,0.01700814,-0.01640833,0.01415706,-0.00002970,0.00132651,-0.00002770,0.00124573,0.01170142,0.01281790,0
196,6.19849462,0.00013081,0.73153404,0.01870968,6.67247312,0.03592767,0.09667177,-0.36586649,-1.38272213,-0.15468902,-7.78517921,-1.34808244,0.21898847,-0.18104927,0.00230623,-0.00554744,0.00493213,-0.25355332,-0.05233016,-0.00486144,-0.02842095,1
197,6.72473118,0.04312648,0.37200973,1.73784946,2.38150538,0.03561783,0.01345341,-0.06215771,0.00096376,-0.00049282,-0.11048387,-0.06338351,-0.00087646,-0.00307504,0.00124361,0.00009750,0.00008520,-0.00218914,0.00255368,-0.00001760,0.00002550,0
